Day,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985
Aug.9,0,0,0,3.8,0,22.8,0,0,0,0.5,5.7,0,0.2,0,1.5,0.9,76.2,0,0.2,0,0,1,0,3.4,0.8,0.4,0,1.4,1.8,0,0,3.3,0.1,1.6,0.8,1.4,0,1.1,0,2.6
Aug.10,0,0.1,0,0,1.3,14,0,0,2.5,0.1,27.6,0,0,3.5,0,1.7,1.5,6.8,0.6,0,0.1,1,0,0,0.2,0,0,2,0,0,0,0.3,0.3,1,0,2,4.3,0,0.5,5.2
Aug.11,1.2,0,0,1.5,0.1,2.6,0.1,0.6,0,0,0.9,0,0.6,1.1,0.2,0,10.2,7,1,0,2.4,0,1.7,0.6,0,0,0.2,4.6,3.1,0,0,5.6,5.3,0,0,3.4,0.9,7.5,0,9.3
Aug.12,0,2.7,0,3.4,0,4.8,2.1,0,0.2,0,1.1,1,3.1,0.6,0,1.9,22.8,2.4,0,0,10.2,0,0,2.7,0,0.2,0.9,0.3,0.1,0.9,0,9.8,4.5,0,1.9,0.9,0.5,2.7,0,4.3
Aug.13,0,3.1,0,0,0,4.5,0.2,3.2,0,0,0,1.3,4.5,0,0,0,1.4,1.3,0,3.6,0,0.1,6.8,0.1,0,0,2.8,6.1,0,0.1,0,0,0.9,0,0,6.3,17.3,0,6.7,9
Aug.14,0,0,0.6,2.2,0,2.8,0,40,0,0.3,0,1.2,1.6,1.9,0,0.8,0,8.3,0,0,0,0,0,0.4,5.2,2.3,0.1,0,0,0,0,8.9,0,0,6,3.2,0.9,0,0.4,4.9
Aug.15,2.8,1,26.8,0.1,0,0,1.4,0.2,0,0,0,16.3,14.5,6.4,0,8.4,0.6,6,10,0,18.6,0,0.2,2.6,4.2,0,0,0.5,0,0.3,0,0.1,13.3,0,1.6,7.7,0,0,0.8,4.3
Aug.16,0,0,0,0.1,0.5,13.3,1.4,1.1,0,0,0,0.1,7.3,0.9,5,0,17.1,0.7,0.8,0,10.6,0,0,2.2,5.8,1.1,0.6,0,0,0,6.3,0,0.1,0.6,0.1,3.4,0,0,0,0
Aug.17,0,1.5,0.1,0.1,9.1,0.3,2.2,5.5,11.9,0.1,0.5,1.4,4.1,0,0.6,1.1,1.1,2,0.4,0,0.8,1.1,0,1.6,5.9,11.3,2,0,0,0,0.1,0,1.7,0.5,3.5,0.1,3.6,20.2,0.1,5.9
Aug.18,0,22.9,0.4,0,11.5,0.7,1,0.2,1.2,0,0.3,0.1,0,0.9,3.8,0.6,5.5,6.9,4.2,7.2,32.8,0.1,1.3,8.9,0.1,0,0,0.1,0,0.1,0.1,0,0,0,3.8,0,0.3,1,1,0.7
Aug.19,0.3,1.7,0,0.4,10.5,2.2,0.5,0,16.2,11.4,0.2,0,0,0.3,3.2,5.1,1.1,0,18.5,0.3,18.3,0,0.1,2.2,1.8,0,0,2.8,0.4,0,0.8,0.1,0,1.6,9.5,0,8.3,0.8,0,0.2
Aug.20,2.9,0,0.7,3.9,3.7,1.9,2.5,4.1,14.1,0,0,0,2.6,0,1.7,21.8,0,16.6,0,0,1,0,2.5,0,0.1,0,1.3,6,7.7,0,2.6,2.9,0,0,0,1.4,0.8,13.6,0,7.6
Aug.21,0.5,0,0,10.1,1.1,3.8,0,2.3,0.9,0.1,3.6,0,1.7,0,0,0.1,0.4,0,0.1,2.5,0,0.3,0,0.5,0.1,0,0.4,5.2,0.9,0,0,0.1,0,2.1,0,0,0,0,4.8,1.8
Aug.22,11.5,0.2,1.2,0.2,1.5,0.3,1.2,0.5,0.7,2.3,0,0,3,0,3.1,3,0,0,0.1,0.6,10,5.5,10.6,0,0,0,0,0,6.6,5.3,17.7,0.1,26.4,0,0,0,0,6.9,3.5,0
Aug.23,7.8,0.1,0.5,0,0,0,4.2,0.1,6.9,33.5,0,3.9,0,0,11.2,0.5,3.6,0,1,1.2,18,0.1,0,0,0.2,1.7,14.3,6.1,0.4,0,9.3,0.1,0,12.8,0.2,0,0.5,0.2,0,9.6
Aug.24,1.6,0,2.1,0.3,2.4,0,6.9,0,0,0.1,3.1,0.1,3.2,0.5,1.2,1.1,0,0,0,3.1,1.4,0,0.1,1.4,0.2,2.6,0,0.1,1.3,0.1,3.7,0,0,0,5.6,0.2,1.7,0,0,2.4
