Day,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985
Aug.12,10.7,2.3,0,13.5,0,9.2,0,0,1.3,0,6.9,2.2,6,5.2,0.5,0,11.9,2.7,0.7,5.2,1.3,2.4,2.3,2.4,0.2,9,5.5,0.5,0.1,4,0,0.1,1,0,0.6,12.5,0,36,3.1,0.7
Aug.13,0.2,0.4,0,0.6,0,3.3,0.6,9.6,0.2,0.1,1.1,0.3,8,2.9,0.4,1.1,0.2,0.6,0.5,1.5,0,0,0.8,18.6,6.8,4.5,4.4,1.1,0,2.1,0,0.8,0,0,2.1,1.3,17,1,5.2,18.4
Aug.14,1.5,5.5,1.4,0,0,3.4,0.8,3.6,0,0.1,1.6,6.6,9,1.3,0.4,7.9,0.1,2.1,0.1,0.1,0,0,5,4.2,1.7,4.5,0.1,10.2,0.1,0,0,3.1,5.2,1.3,6.4,18.6,1.4,1.1,10.4,15.3
Aug.15,15.7,2.3,0.2,0,0,6.5,1.4,3.1,0,1.8,0.5,0.5,4.3,4,0,1.6,11.7,4.4,2.7,0,0.9,0,0,0,0.6,3.4,5.2,5,0.3,0,4,3.1,0.4,0.5,2.6,0.3,0.2,36.2,3.5,1.2
Aug.16,0.3,0,0,0.6,0,5.1,4.5,1.8,0.9,0.1,2.2,1.6,14.4,0.3,15.8,2.6,18.7,1.5,0.7,5.5,14,0.1,0,1.5,7.4,1,6.1,1.9,0.5,0,5.4,0,5.7,0.6,4.7,1.6,1.2,1.1,0.3,0.1
Aug.17,2.9,0,0.5,0.4,4.3,10.7,2.9,9.5,5.7,2.3,6.6,4.2,0.5,0.8,1.4,1.9,2.7,6.3,4,24.7,6.4,8.8,0.3,0,0.8,3.2,0,0,4.8,0,0.1,0.7,0.2,0,0.2,0.7,4,0.2,0.2,1.4
Aug.18,0.2,27.2,0.9,0.4,1.4,1.8,15.3,5.7,1.5,1.6,4.8,0.9,1.9,0.8,1.7,9.1,1.4,5.5,4.1,6.4,6.2,1.5,0,9.8,0.5,4.5,0,0,3.4,0,3.6,0,0.5,1.2,11.3,1.6,4.9,0.3,2.8,15.9
Aug.19,17.6,4.3,3.6,0,3.8,1.5,2.4,0.2,5,4.6,3.2,0.2,7,0.7,1.6,14.3,0,9.8,0.6,0.2,1.7,0.2,0,1.3,1.1,0.2,2.9,1.4,3.3,0,0.8,0,0.3,0,0.9,1.7,11.7,15.2,1.5,5
Aug.20,13.2,1.5,0.5,3.6,6.9,0.6,0.3,0,0.5,0.7,2.4,1.4,0.4,0.4,1.7,4.1,1,0.1,4.1,0,0,21.5,0,2.3,3.2,0,3.7,1.5,4.3,0,1.2,0,11.4,0,0.5,10.6,2.4,17.7,0.1,5.7
Aug.21,5.5,5.1,0.5,2.9,3.8,8.3,8.9,3.8,4.3,3.4,1.3,0,3.3,0.3,1.4,5.4,0.8,0.7,0,3.1,1.3,1.6,1.1,5.1,0.1,0,0.5,0,0.1,0.6,0.7,0,23.3,2.6,0.1,2.6,0,2.4,4.3,5.1
Aug.22,8.4,0.4,0,0,4.2,2.9,5.4,43.1,2,12.1,2.5,0,6.2,0.1,9.4,8.3,0,0,0.8,1.7,13.5,1.7,0,0.1,0,0,0.7,0,10.9,1.3,13.7,3,12.7,0,1.4,0.2,0.8,0.1,0.4,4.4
Aug.23,9.1,0.5,0.3,0,1.2,0.2,8.6,0.7,1.8,34.9,0,1.3,3.2,2.6,4,11.1,2.8,0,0.1,12,0.1,0,4.5,0,0,0,2.1,0.4,11.3,1.3,20.7,1.3,4.2,0,0.1,0.1,0.3,0,0,19.7
Aug.24,5,4.3,0.2,0,30,0,5.1,4.1,1.2,0.1,0.1,0.7,1,8.6,0.2,1.4,3,0.2,0.4,5.1,11.8,0,0.1,0,0,8.5,2.2,1.4,10.6,3.5,1.3,0,11,0,0,4.6,3.8,0,0,5.5
