Day,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985
28-Jul,1.2,3,0.3,3.1,0,0,0,3.5,1.2,4.3,1,1,1,0,0.2,2.6,10,1.8,4.5,0,10.1,10.1,1.2,0.2,0.4,0,2,10.4,0.6,8.9,0,4.8,0,0.3,3.6,4.7,0.7,1.3,10.3,3.7
29-Jul,1.8,4,8.9,0,23.1,2,4,2.9,0.7,0.8,0,5.5,2.5,0,13,3.3,6.2,0,8.3,0,0.4,7,0,0,0.4,0,3,2.5,6.1,0.8,14.4,3.7,0,0.9,10.5,4.2,2.1,1.1,10.5,0
30-Jul,0,15.6,5,1.3,5.3,2,8.1,3,1.1,0.4,0.7,3,3.5,5.1,2.3,4.2,0,0,3.4,0.1,0,0.6,0.1,0,5.8,0,6,0.4,0.8,0,37,0.6,0,0.1,0,3,3.4,0.3,4.1,0
31-Jul,1.5,8.9,0,0,0.5,0,3.5,0,1.1,3.7,1.2,25.3,21.3,1.6,0.4,8.3,8.8,2.1,1.8,0,2.8,1,0,5.5,2.2,0,1.2,0.1,0.3,0,1.6,0.1,9.9,0.6,1.2,2.5,0,0.5,1,0
01-Aug,3.7,10.3,24.2,0,5,0,33.7,1.4,2.3,9.2,0.4,12.7,29.5,0.7,0.6,0.2,3.3,1.2,0.1,2.1,1.2,0.8,0,0.4,22.4,7.4,0.7,0.1,0,12.3,0.3,10,7.5,0.1,0,0.2,0,4.4,17.5,17.3
02-Aug,3.2,0.6,0.7,10,1,0.6,2.7,23.4,1.6,15.3,1.7,4.3,8.1,0,3.2,14.4,2.5,0,0,0.4,1.8,2.1,0,4.1,0.3,4.2,23,0,0,0,0.5,3.1,24.7,0.5,4.6,2.5,0.7,0,0.9,2.7
03-Aug,4,0,0,8.1,9.2,4.9,0.7,0.4,4.5,8,0,3.3,5.8,8.9,7.4,7.4,0.2,6.6,2.5,4,0,2.2,0,0.4,0.4,2,0.2,7.4,0,0,13,0.1,0.6,0.3,0.1,2.1,3.4,0,3.9,2
04-Aug,23.6,19.4,5.3,11.7,2.7,8.2,0,1.6,0.3,5.7,0.1,0.1,0.5,0.5,1,1.4,3.6,7,0.5,9,0,0,0,11.5,3.1,1,0.1,40.1,7.4,0,0.7,0.6,9.7,4.7,0.1,12.4,1.3,0,0.1,12.2
05-Aug,1.6,2.6,0,3.8,0.2,16.4,2.7,4.2,2.4,0.2,6.4,0.5,1.2,14.3,5,3.3,0.1,6.2,3.5,4.2,4.5,0,19.1,20.1,2.6,9.1,0.3,1.5,0.1,0,0,3.8,0.9,10.1,0.9,1,19.5,0,55.7,2
06-Aug,4.1,0,0,24.8,6,10.8,0.4,1.1,0.4,0,1.2,0.1,0.5,4.4,2,0.6,0,0.2,0,1.3,0,0,3.6,9.4,0.5,4.9,15.2,0.3,0,0,0,3.4,0.5,0.1,0.1,0.3,0.8,4.6,1.3,9.5
07-Aug,1.1,0.9,0,1.9,0,0.2,0.7,0.6,1.5,0,4.6,0,0.3,0.7,0,3.3,0,0,0,0,4.8,0,21.6,0.2,0.4,3.2,1.3,1.5,7.3,0,0,1.2,0,0,0.2,1.5,4.5,0,0,13.3
08-Aug,12.8,2.5,0,7.3,0,8.4,1.4,1.4,0,3.3,8.4,1.1,0,0,6.6,1.2,9.7,8,7.9,0,0,0.8,0.4,0,25,0,0.3,16.6,4.4,0,0,4.9,0,6.5,2.3,13,9.1,0.5,0,22.8
09-Aug,0,0.7,0,0,0,4.1,0.3,0,2.8,7.2,1.4,0,0,10,0.5,8.9,6.5,2.6,0,0,0,0.8,2,4.7,0.9,0,0.3,10.5,17.8,0,0,0.5,1.5,14,0.7,0,10.8,0.1,0,3.5
10-Aug,0,7.1,0,9.1,0,2.5,0,4.1,0.4,0.5,4.8,0,0,6.1,0,0.3,7.2,6.4,0,1.3,5.1,0,6.6,4.1,0.3,0.1,0.3,1.2,0.1,3.9,0,15,9.1,0.4,1,6.5,2,4.8,0,7.6
11-Aug,5.8,9.9,0,7,0,1.1,9.7,0.1,0.1,0,4.7,0.9,0,2.6,0.1,0.7,5.1,3.7,0,0.5,2.8,0,0.6,10.3,17.1,0,0.4,0,0,3.8,0,16.5,8.6,0.1,2.3,2.5,7.5,36.9,0,0.2
12-Aug,2.8,3.3,0,3.1,2.7,0,0.1,0.2,4.8,0,4.9,0.1,4.4,11.2,0,0.3,18.8,1,0,6.2,5.7,1.7,3,15,7.3,5.3,4.4,0,0,0.1,0,0.8,10.5,0,1.7,17.7,0.6,1.7,13.2,4
13-Aug,0.8,0.5,0,2.3,0,4,0.2,14.2,0.6,1.3,6.9,2.6,3.5,3.4,0,4.2,27.7,8.2,0,0.5,0.3,0,8.2,1.5,10.3,1.4,4.4,1.5,0,0.1,0,5.7,2.6,0,0.5,17.5,13.8,0,3,11.2
14-Aug,21.3,0.4,0,1.8,0.4,1.4,0.7,1.5,0,1.5,0.1,1.2,0,2.3,0,15.2,15.9,7.1,1.1,2.6,1.5,0,15.5,0.2,4.5,2.9,0,2.6,0.7,0,1.7,0.1,12.7,5.4,13.7,27.1,0.6,11.8,6.5,4.6
15-Aug,0,0,0,0,0,19.7,6.6,8.8,0,0,0,5.8,14.2,15.4,0.8,0.3,27.1,1.1,9.5,0.5,0.3,0,0.8,0.2,5.2,8.2,1,3.9,0.3,0,21.6,0.1,0.9,0.3,3,10,0,1.2,0.5,6.2
16-Aug,0.5,0.6,0,0,0,2.5,11.6,2,35.3,0.3,0.6,2.4,0.4,0,6.6,3.7,28,3.3,0,7.5,3.9,0,2.9,0.7,0.4,15,8.5,0.3,0.2,0,6.8,0,9,2,1.2,2.8,10,1.7,0.2,0.2
17-Aug,0,5.1,9.8,0,25.6,11.5,0.4,1.6,7.4,0,0.8,1.5,1,0,1.3,10.6,7.7,17.3,0,14.1,0.4,2.8,0.2,1.5,3.6,1.3,0,0,11.1,0,8.9,1,1.3,0.1,4.1,0.2,0.6,4.7,0,4.3
18-Aug,11,20.4,2.2,3.4,0.1,5.1,26,14.8,7.5,8,0.8,0.1,0,2,3.7,27.8,0.7,0.3,0,0.6,5,0.5,0,0.2,12,4,1.5,1,4.2,0,1.6,0.9,1.6,10.4,13.1,6,17,30.2,1.2,11.5
19-Aug,12,0.5,13.5,15.6,15,9.2,0.4,0.3,14.1,2.5,0,0,1.8,7,5.2,6.6,0.9,3.7,1,0,3.5,0.8,0,19.6,4,0,0.9,1.2,4,0,0.6,1.1,0,0,0.6,1.3,0.6,3.8,0,16.8
20-Aug,1.9,0.6,2.1,18.7,9.1,6.6,1.1,13.2,5.1,6,0.2,0,6.7,3.3,0,4.8,2.6,0,1.7,6.1,0,1,0,1,7,0,0.7,10.5,0.9,0,0,4,1.9,0.2,0.5,7.6,0.1,0,4.7,3.2
21-Aug,9.8,4,0,0,1.4,9.1,8.2,29.5,5.3,2.8,0.8,1.6,3.8,0,0,0.2,0.1,0,1.5,0.5,5.1,3.9,0,0,4.9,0,0.4,0.1,17.4,1.9,0.5,1.1,40.6,12.5,3.5,0.5,0.5,0,0,2.4
22-Aug,24.5,0.8,2.2,0.6,1.5,1.9,7.1,1.1,0,0,0.8,2.7,7.7,0,8.8,33.9,2.9,0,2.9,0.6,13.8,4.9,0,0,0,1.7,18.5,0.8,10.3,0.6,8.2,0.3,1.8,0,1,0,3,0,1.3,6
23-Aug,4.9,0.5,0,0,0.5,0.6,4.8,0.9,0,2,0,0.3,9.3,14.3,1.3,9,12.3,0.4,0.2,7.6,2.1,0.4,1,0,0,5.2,0.9,4.3,16.2,3,9.7,0,1.2,0,1.6,0,4.9,0,0,18.5
24-Aug,7.3,1.1,0,0,31.1,1.3,2.2,12.1,1,0.8,12.8,1.7,7.5,9.1,0,1.7,2.1,0.9,1,2.8,0.6,0,0,0,0,16.4,10,3.4,8.1,0.2,2,0,7.2,0.9,0.4,8.7,0.9,3.5,15.4,7.5
